,SITE,LAT,LON,Height,TREND_Vertical
0,ASKY,75.72612860699999,-58.257348695,687.36811,19.67227394194137
1,BLAS,79.5386074267,-22.9747195642,484.05114000000003,7.846690289532383
2,DGJG,71.78653282479999,-29.8502044134,1494.15755,3.6936483646574243
3,DKSG,76.3516206291,-61.677668519099996,609.6959099999999,18.708619357858783
4,GMMA,77.8094246908,-19.6521155161,521.8265200000001,6.166941766129671
5,GROK,78.4426981683,-22.903761994699998,1045.90985,7.498000711924843
6,HEL2,66.4011568623,-38.2157045418,424.85943,16.489104183500803
7,HJOR,63.418209473599994,-41.147867713400004,762.6826,5.734054479144591
8,HMBG,73.6759811957,-28.1290688195,1322.9234,1.2049672517022278
9,HRDG,81.8798314505,-44.5173703227,718.38698,7.66590002607005
10,JGBL,82.2087576709,-31.0041999392,753.24715,6.083406679314749
11,JWLF,83.11165278989999,-45.1198324828,112.86138999999999,6.852447200828962
12,KAGA,69.22230109899999,-49.8146285775,149.91394,18.29422210583806
13,KAGZ,79.1319583513,-65.8529558887,86.59551,9.594882300587486
14,KBUG,65.1436817838,-41.1575442467,290.68715,7.901021581001107
15,KMJP,83.6432369152,-33.377077895300005,85.12477,4.71494309707455
16,KMOR,81.25271455810001,-63.5273968953,203.29841000000002,7.293350226902032
17,KSNB,66.8632797131,-35.5763150762,1720.90875,12.864508170543036
18,KUAQ,68.5869987933,-33.052745772600005,865.02985,18.633545635015146
19,KULL,74.5806247459,-57.227058470900005,94.03823,12.338343979977104
20,KULU,65.57933538420001,-37.149357884699995,67.48358,8.58264322872728
21,LBIB,75.8938076693,-23.852941631799997,1483.4958199999999,1.96996697416825
22,LEFN,80.4566821034,-26.293458460900002,692.08156,6.06529534884332
23,LYNS,64.4304805005,-40.198052805900005,174.04571,7.3906659989206736
24,MARG,77.1870370532,-65.6946223529,670.6177299999999,8.257515882824412
25,MIK2,68.1402797944,-31.451820822,815.78664,12.775828461807153
26,MSVG,72.2408215337,-23.9128618516,88.17638000000001,3.2004407456594284
27,NNVN,61.631875835200006,-44.901065824899995,2134.60705,5.5846970608051585
28,NRSK,79.1550278264,-17.7254152493,347.99217000000004,5.8693709293099765
29,PLPK,66.8977270212,-34.033459942,122.30341000000001,11.421463496266506
30,QAAR,70.7404055014,-52.6883734313,53.044630000000005,8.626709737733501
31,RINK,71.8484998328,-50.9939623024,1337.86374,9.229861720634565
32,SCBY,80.2601326276,-59.593616719399996,544.37109,10.59018305489838
33,SENU,61.069579849200004,-47.141314765,666.97914,9.22927074895927
34,SRMP,72.9106777229,-54.393705167700006,370.45277999999996,15.547096732793177
35,TIMM,62.5355424341,-42.2861504971,313.28368,9.038578879074029
36,TREO,64.2770689724,-41.375076666,121.92108999999999,7.156311241820832
37,UTMG,62.927205668999996,-43.3064193446,1471.1232300000001,7.692381593476777
38,VFDG,70.2999225096,-29.8176398157,1293.52284,4.860645759409409
39,WTHG,73.95519820210001,-24.308919485500002,1109.89552,2.477711899810128
40,YMER,77.4328942519,-24.3263255288,1070.07744,2.409350779718745
